site_name,state,art_form,seasonality,responsible_score,latitude,longitude,image_url,describtion
Kumbh Mela,Uttar Pradesh,Religious,Winter,8.5,25.4358,81.8463,https://phototravel.es/wp-content/uploads/2017/08/kumbha-mela-india-haridwar-2021.jpg,"Kumbh Mela is one of the world's largest religious gatherings, held every 12 years at four river-bank pilgrimage sites."
Hornbill Festival,Nagaland,Folk,Winter,9,26.1584,94.5624,https://th.bing.com/th/id/OIP._06Gr89nvCJDNrSa85e17wHaEK?rs=1&pid=ImgDetMain,"A vibrant celebration of Naga heritage with dance, war re-enactments, and indigenous crafts."
Rann Utsav,Gujarat,Folk,Winter,8,23.7337,69.8597,https://thetravelshots.com/wp-content/uploads/2021/11/Rann-Utsav-1.jpg,"Desert festival in the white salt flats of Kutch showcasing music, dance, and local crafts."
Surajkund Mela,Haryana,Handicraft,Spring,7.5,28.4504,77.0277,https://www.backpackingwithmylens.com/wp-content/uploads/2018/04/amusement-zone-surajkund-mela.jpg,"One of the largest crafts fairs in the world, promoting traditional artisanship."
Ziro Festival,Arunachal Pradesh,Music,Autumn,8.2,27.5986,93.8332,https://th.bing.com/th/id/OIP.CwM2E9QFjfSPrIDVDUZZHwHaD4?w=316&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,Independent music festival in the Ziro Valley amidst Apatani tribal culture and scenic beauty.
Khajuraho Dance Festival,Madhya Pradesh,Dance,Spring,8.6,24.8318,79.9199,https://th.bing.com/th/id/OIP.1dlxgUkcq0UPgyOEypnutQHaFj?w=218&h=180&c=7&r=0&o=5&dpr=1.3&pid=1.7,"A one-week festival of classical dances held annually beside the Khajuraho temples in Madhya Pradesh, India. Learn about the history, events, and dance styles of this cultural extravaganza that showcases the richness of Indian classical dance."
Majuli Island,Assam,Satriya,All Seasons,9.2,26.9562,94.1455,https://th.bing.com/th/id/R.faa276e9a175fcd3127ddc2fc0d65a74?rik=3DVSl0bJP6KWqg&riu=http%3a%2f%2ftourmyodisha.com%2fwp-content%2fuploads%2f2022%2f12%2fMajuli-Island-1024x576.jpg&ehk=Ql3E0BXzFwlL0oBjjO9CONZXbT%2fudF7GgT%2b5gWvqGLc%3d&risl=&pid=ImgRaw&r=0,"World's largest river island, known for Neo-Vaishnavite monasteries and cultural retreats."
Torgya Festival,Arunachal Pradesh,Buddhist,Winter,8.8,27.5794,92.5786,https://travellingslacker.com/wp-content/uploads/2020/05/Torgya-5.jpg,"Torgya, also known as Tawang-Torgya, is an annual festival that is exclusively held in Tawang Monastery, Arunachal Pradesh, India. It is held according to the Buddhist calendar days of 28th to 30th of Dawachukchipa, which corresponds to 10 to 12 January of the Gregorian calendar, and is a Monpa celebration. The objective of the festival is to ward off any kind of external aggression and to protect people from natural disasters."
Rongali Bihu,Assam,Folk,Spring,7.9,26.1445,91.7362,https://i.ytimg.com/vi/Lu3XYoqCpTk/maxresdefault.jpg,"Bohag Bihu or Rongali Bihu also called Xaat Bihu (seven Bihus) is a traditional ethnic festival celebrated in the Northeastern Indian state of Assam and other parts of Northeastern India by the indigenous ethnic groups of Assam, and marks the beginning of the Assamese New Year. T"
Bhavnath Fair,Gujarat,Spiritual,Spring,7.8,21.5222,70.4561,https://discoverindiabycar.com/wp-content/uploads/2024/05/Bhavnath-fair-A-holy-event-of-Mahadeva-in-Junagarh-Gujarat.png,"Bhavnath fair is held at the Foothills of Girnar mountain in Junagadh, Gujarat on the banks of the river Suvarnarekha. Bhavnath Fair is one of the important fairs of Gujarat."
Sankirtan Festival,Manipur,Devotional,Winter,9.1,24.817,93.9368,https://simhachalam.de/wp-content/uploads/2023/11/photo_5_2023-11-26_12-00-40.jpg,"UNESCO-recognized ritual singing, drumming, and dancing in Vaishnavite temples."
